instance,algorithm,seed,time_limit,sum_diff,elapsed
small,hill_det,1,2,0,0.09
small,hill_rand,1,2,0,0.09
small,tabu,1,2,0,0.09
small,sa_exp,1,2,0,0.10
small,sa_lin,1,2,0,0.10
small,ga,1,2,0,0.09
medium,hill_det,1,2,1,0.09
medium,hill_rand,1,2,5,0.09
medium,tabu,1,2,0,0.09
medium,sa_exp,1,2,1,0.09
medium,sa_lin,1,2,0,0.10
medium,ga,1,2,0,0.10
large,hill_det,1,2,1,0.36
large,hill_rand,1,2,7,0.79
large,tabu,1,2,1,2.12
large,sa_exp,1,2,174,0.12
large,sa_lin,1,2,2,0.17
large,ga,1,2,4,2.09
huge,hill_det,1,2,407566,7.12
huge,hill_rand,1,2,416625,7.11
huge,tabu,1,2,404112,3.28
huge,sa_exp,1,2,275272,0.13
huge,sa_lin,1,2,3,0.74
huge,ga,1,2,10,2.09
